planid,planname,planname (groups)
1,CWAY SILVER,SILVER CUSTOMIZED
10,TSHIP,Other
1014,Seniors Plan SIL,SILVER CUSTOMIZED
1015,Seniors Plan BRONZE,BRONZE CUSTOMIZED
1016,Seniors Plan GOLD,GOLD CUSTOMISED
1017,Seniors Plan GOLDPLUS,GOLD PLUS CUSTOMISED
1018,Seniors Plan PLATINUM,Other
1019,Maternity Plan BRONZE,BRONZE CUSTOMIZED
1020,Maternity Plan SILVER,SILVER CUSTOMIZED
1021,ICMG GOLD,GOLD CUSTOMISED
1022,SOLOMAX Customized Plan,Other
1023,Maternity Plan Gold,GOLD CUSTOMISED
1024,Maternity Plan Gold Plus,GOLD PLUS CUSTOMISED
1025,Maternity Plan Platinum,PLATINUM CUSTOMIZED
1026,Market Health Plan,Other
1027,BGPAINT GOLD,GOLD CUSTOMISED
1028,BGPAINT SILVER,SILVER CUSTOMIZED
1029,BGPAINT BRONZE,BRONZE CUSTOMIZED
1030,OBIO PLAN,Other
1031,SYPHER GOLD PLAN,GOLD CUSTOMISED
1032,APSP CUST SILVER,SILVER CUSTOMIZED
1033,EVSP SILVER,SILVER CUSTOMIZED
1034,AIC BRONZE PLAN,BRONZE CUSTOMIZED
1035,7UP GOL+,GOLD PLUS CUSTOMISED
1036,APBF SILVER,SILVER CUSTOMIZED
1037,AGL CUS SILVER,SILVER CUSTOMIZED
1038,FMCG BRZ,BRONZE CUSTOMIZED
1039,BC KASH BRZ,BRONZE CUSTOMIZED
1040,ICMG CUSTOMIZED PLAN,Other
1041,VITF BRZ,BRONZE CUSTOMIZED
1042,VITAFOAM GOLD,GOLD CUSTOMISED
1043,TESNL(HOS) CUS GOLD,GOLD CUSTOMISED
1044,VITABLOM GOLD PLAN,GOLD CUSTOMISED
1046,ECCNL CUS SILVER,SILVER CUSTOMIZED
1047,VIBLOM BRZ,BRONZE CUSTOMIZED
1048,VIPUR BRZ,BRONZE CUSTOMIZED
1049,ACSL CUS BRONZE,BRONZE CUSTOMIZED
1050,APBF BRZ,BRONZE CUSTOMIZED
1051,ACAD BRZ,BRONZE CUSTOMIZED
1052,SOSF BRZ,BRONZE CUSTOMIZED
1053,ODG SILVER,SILVER CUSTOMIZED
1054,VITF SIL,SILVER CUSTOMIZED
1055,OSDG SILVER,SILVER CUSTOMIZED
1056,VIBLOM SIL,SILVER CUSTOMIZED
1057,VNL CUS SILVER,SILVER CUSTOMIZED
1058,CFBNC CUS SILVER,SILVER CUSTOMIZED
1059,WPNL(NEW WAY) CUS SILVER,SILVER CUSTOMIZED
1060,BFI (NEW WAY) CUS SILVER,SILVER CUSTOMIZED
1061,STELLAR CUST BRONZE,BRONZE CUSTOMIZED
1062,WAT BRONZE,BRONZE CUSTOMIZED
1063,STL CUS BRONZE,BRONZE CUSTOMIZED
1064,AFRAB GOLD,GOLD CUSTOMISED
1065,CICL SIL,SILVER CUSTOMIZED
1066,SOWS SIL,SILVER CUSTOMIZED
1067,SOWSCO CUST BRONZE,BRONZE CUSTOMIZED
1068,LCL CUS BRONZE,BRONZE CUSTOMIZED
1069,SEFS SIL,SILVER CUSTOMIZED
